,list_price_dkk,rooms,home_size_m2,lotsize_m2,expenses_dkk,balcony,floor_as_int,m2_price,zipcode_avg_m2_price,age,Zipcode_1300,Zipcode_1600,Zipcode_1799,Zipcode_1900,Zipcode_2000,Zipcode_2100,Zipcode_2150,Zipcode_2200,Zipcode_2300,Zipcode_2400,Zipcode_2450,Zipcode_2500,Zipcode_2700,Zipcode_2720,Zipcode_2770,Zipcode_2900,Hometype_Andelsbolig,Hometype_Ejerlejlighed,Hometype_Fritidshus,Hometype_Rækkehus,Hometype_Villa,Hometype_Villalejlighed
82,1845000.0,1.0,34,0.0,1960.0,2,3,54264.705882352944,49171.014350839054,57.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,2450000.0,2.0,56,0.0,2235.0,1,4,43750.0,49171.014350839054,117.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,3995000.0,3.0,77,0.0,2107.0,2,2,51883.11688311688,49171.014350839054,101.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,5195000.0,4.0,102,0.0,4638.0,0,2,50931.37254901961,49171.014350839054,89.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86,14995000.0,8.0,230,638.0,7535.0,2,1,65195.65217391304,49171.014350839054,116.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,2395000.0,2.0,41,0.0,4599.0,0,1,58414.634146341465,58670.47911762888,48.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,3498000.0,3.0,66,0.0,1807.0,1,4,53000.0,49171.014350839054,130.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,3700000.0,2.0,63,0.0,2812.0,0,6,58730.15873015873,58670.47911762888,45.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91,8395000.0,5.0,147,0.0,3974.0,0,3,57108.84353741496,58670.47911762888,164.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,4595000.0,3.0,85,731.0,3474.0,0,2,54058.82352941176,49171.014350839054,117.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
93,9500000.0,4.0,179,0.0,5361.0,2,3,53072.625698324024,58670.47911762888,120.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
94,2795000.0,2.0,68,0.0,3335.0,2,1,41102.94117647059,49171.014350839054,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,3345000.0,4.0,100,0.0,3200.0,0,4,33450.0,49171.014350839054,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,3495000.0,4.0,115,0.0,3606.0,0,1,30391.304347826088,49171.014350839054,68.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97,3550000.0,3.0,83,0.0,4098.0,0,3,42771.0843373494,49171.014350839054,20.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
98,12900000.0,6.0,158,359.0,5825.0,0,0,81645.56962025317,58670.47911762888,156.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,13900000.0,5.0,173,0.0,5475.0,0,0,80346.82080924856,58670.47911762888,133.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
